COUNTRY,HEALTH-CARE FACILITIES,EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,UNIVERSITIES,GOVERNMENT FACILITIES,INDOOR OFFICES,RESTAURANTS,PUBS AND BARS,PUBLIC TRANSPORT,ALL OTHER INDOOR PUBLIC PLACES,"OVERALL COMPLIANCE OF REGULATIONS ON SMOKE-FREE ENVIRONMENTS ,"
Afghanistan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0
Albania,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Algeria,Yes,Yes,Yes,No,No,No,Yes,No,Missing,5
Andorra,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,7
Angola,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,Missing
Antigua and Barbuda,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
Argentina,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8
Armenia,Yes,Yes,Yes,No,No,No,No,No,Missing,3
Australia,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Missing,Missing
Austria,No,Yes,No,No,No,No,No,Yes,Missing,5
Azerbaijan,Yes,Yes,Yes,No,No,No,No,No,Missing,3
Bahamas,No,No,No,No,No,No,No,No,Missing,Missing
Bahrain,No,No,No,No,No,No,No,No,Missing,Missing
Bangladesh,Yes,Yes,Yes,Yes,Yes,No,No,No,Missing,6
Barbados,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Belarus,No,No,No,No,No,No,No,No,Missing,Missing
Belgium,No,No,No,No,No,No,No,Yes,No,8
Belize,No,No,No,No,No,No,No,No,Missing,Missing
Benin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Bhutan,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Missing,10
Bolivia (Plurinational State of),Yes,Yes,No,Yes,No,No,No,Yes,Missing,2
Bosnia and Herzegovina,No,No,No,No,No,No,No,No,Missing,Missing
Botswana,No,No,No,No,No,No,No,No,Missing,Missing
Brazil,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10
Brunei Darussalam,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7
Bulgaria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7
Burkina Faso,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
Burundi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Missing
Cabo Verde,No,No,No,No,No,No,No,Yes,Missing,5
Cambodia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3
Cameroon,Yes,Yes,Yes,No,No,No,No,No,Missing,Missing
Canada,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Missing,9
Central African Republic,No,No,No,No,No,No,No,No,Missing,Missing
Chad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Chile,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
China,No,No,No,No,No,No,No,Yes,Missing,5
Colombia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Comoros,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,3
Congo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
Cook Islands,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Missing,10
Costa Rica,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Côte d'Ivoire,No,No,No,No,No,No,No,No,Missing,Missing
Croatia,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,9
Cuba,Yes,Yes,Yes,No,No,No,No,Yes,Missing,4
Cyprus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Missing,Missing
Czechia,Yes,Yes,Yes,No,No,No,No,Yes,Missing,8
Democratic People's Republic of Korea,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Missing,5
Democratic Republic of the Congo,Yes,Yes,Yes,No,No,No,No,Yes,Missing,0
Denmark,No,Yes,No,No,No,No,No,No,Missing,8
Djibouti,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,Missing
Dominica,No,No,No,No,No,No,No,No,Missing,Missing
Dominican Republic,Yes,Yes,Yes,No,No,No,No,No,Missing,3
Ecuador,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8
Egypt,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
El Salvador,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Equatorial Guinea,No,No,No,No,No,No,No,No,Missing,Missing
Eritrea,No,No,No,No,No,No,No,No,Missing,Missing
