name,time,case_per_t,t0_year,year_num,treated,d_case_per_t
Albania,2004,26.414803866216,2010,-6,1,NA
Albania,2016,33.483872784717924,2010,6,1,7.069068918501923
Algeria,2006,3.915400035438892,0,-6,0,NA
Algeria,2018,7.439557073,0,6,0,3.5241570375611078
Angola,2006,2.484180446508309,0,-6,0,NA
Angola,2018,5.110692055,0,6,0,2.6265116084916915
Argentina,2006,24.61282901478233,2012,-6,1,NA
Argentina,2018,30.38898745,2012,6,1,5.776158435217667
Armenia,2006,39.059243802439305,0,-6,0,NA
Armenia,2018,43.49674859,0,6,0,4.437504787560698
Australia,2006,46.45848129520386,0,-6,0,NA
Australia,2018,51.44908933,0,6,0,4.990608034796139
Austria,2006,51.864266449589486,0,-6,0,NA
Austria,2018,57.52689249,0,6,0,5.662626040410515
Azerbaijan,2006,13.26835247597103,0,-6,0,NA
Azerbaijan,2018,22.52246537,0,6,0,9.25411289402897
Bahamas,2006,11.207375721984583,0,-6,0,NA
Bahamas,2018,14.76853197,0,6,0,3.5611562480154166
Bahrain,2006,6.6296405658044515,0,-6,0,NA
Bahrain,2018,8.843911954,0,6,0,2.214271388195548
Bangladesh,2006,9.7152553831627,0,-6,0,NA
Bangladesh,2018,5.814318963,0,6,0,-3.900936420162701
Barbados,2004,10.258533945067441,2010,-6,1,NA
Barbados,2016,13.128153451038846,2010,6,1,2.8696195059714054
Belarus,2006,39.0854732426826,0,-6,0,NA
Belarus,2018,38.91229059,0,6,0,-0.17318265268260546
Belgium,2006,71.6995649774108,0,-6,0,NA
Belgium,2018,75.87254349,0,6,0,4.1729785125891965
Belize,2006,7.160068374190803,0,-6,0,NA
Belize,2018,8.776341551,0,6,0,1.6162731768091971
Bosnia and Herzegovina,2006,52.948381350085064,0,-6,0,NA
Bosnia and Herzegovina,2018,72.1982112,0,6,0,19.24982984991494
Botswana,2006,8.991176587536106,0,-6,0,NA
Botswana,2018,12.49145124,0,6,0,3.5002746524638937
Brazil,2006,12.330226062116099,2012,-6,1,NA
Brazil,2018,16.40650851,2012,6,1,4.0762824478839
Bulgaria,2006,49.661742855105544,2012,-6,1,NA
Bulgaria,2018,70.09275717,2012,6,1,20.431014314894455
Burkina Faso,2004,1.5070707542015027,2010,-6,1,NA
Burkina Faso,2016,1.5283956377521606,2010,6,1,0.02132488355065787
Cabo Verde,2006,7.8564105624601694,0,-6,0,NA
Cabo Verde,2018,12.41693579,0,6,0,4.560525227539831
Cameroon,2006,3.6426238239406894,0,-6,0,NA
Cameroon,2018,5.327439521,0,6,0,1.6848156970593102
Canada,2006,66.67892904320858,0,-6,0,NA
Canada,2018,81.77277999,0,6,0,15.09385094679142
Central African Republic,2006,5.665754023421138,0,-6,0,NA
Central African Republic,2018,5.389955967,0,6,0,-0.27579805642113797
Chad,2004,2.3277407632298317,2010,-6,1,NA
Chad,2016,2.446081345956621,2010,6,1,0.11834058272678938
Chile,2008,14.861635760287355,2014,-6,1,NA
Chile,2020,20.8,2014,6,1,5.938364239712646
China,2006,38.45564522280362,0,-6,0,NA
China,2018,56.19665063,0,6,0,17.741005407196383
Comoros,2006,1.4909957584842288,0,-6,0,NA
Comoros,2018,4.868863267,0,6,0,3.377867508515771
Congo,2006,6.388138356,2012,-6,1,NA
Congo,2018,7.709504968,2012,6,1,1.3213666120000003
Costa Rica,2006,6.020130155398061,2012,-6,1,NA
Costa Rica,2018,10.34289054,2012,6,1,4.32276038460194
Croatia,2006,75.49849124098648,0,-6,0,NA
Croatia,2018,80.22944272,0,6,0,4.7309514790135125
