COUNTRY,2008,2010,2012,2014,2016,2018,2020,case_per_t_2008,case_per_t_2010,case_per_t_2012,case_per_t_2014,case_per_t_2016,case_per_t_2018,case_per_t_2020
Afghanistan,3,4,3,3,7,8,8,5.51401235706398,5.576397137607081,5.609989391354901,5.70172058185952,5.868237167265617,3.850113108,3.8
Albania,0,9,9,9,9,9,9,28.60502817141302,29.74952806725389,30.508884805928556,31.90573963415647,33.483872784717924,41.92663077,38.5
Algeria,2,2,3,3,3,4,4,3.9339079734979556,3.980215274283884,4.127151103206223,4.297306051780088,4.508969086589814,7.439557073,10.9
Angola,1,1,0,0,0,5,5,2.471695229400051,2.4706880347686,2.506977378656341,2.55558533582775,2.6116684410169695,5.110692055,1.2
Argentina,0,0,8,8,8,8,8,24.854018168939895,24.834700153987207,24.796642467828608,24.75510610623513,25.25223003393777,30.38898745,26.8
Armenia,6,3,3,3,3,3,7,40.698992129288094,40.23961236069474,38.98151297447958,38.008476162124545,38.8638579744134,43.49674859,44.5
Australia,0,0,0,0,0,6,6,47.98928900852738,50.183076696131714,51.47908600822619,53.37334977133362,55.24799049494093,51.44908933,51.6
Austria,1,2,1,1,1,2,4,54.1019307105357,56.130015960008635,58.68535328210908,59.98135345637368,60.47271110679724,57.52689249,58.4
Azerbaijan,2,3,3,3,3,3,3,14.23203322911199,15.164232988143134,15.712822070736586,16.569343578590175,17.41527711335287,22.52246537,16
Bahamas,0,0,0,0,0,0,0,11.371042830540036,11.866928122253027,12.517155736960952,13.40168634064081,14.230412015145943,14.76853197,9.9
Bahrain,7,0,0,0,0,0,0,6.229786165101893,6.052234572040126,6.03411536822412,6.053561444621663,6.119401624218943,8.843911954,5.6
Bangladesh,2,2,2,2,2,5,5,10.480473730473918,11.42933458308064,13.11010489912989,15.92050629125001,17.669352702784213,5.814318963,7.9
Barbados,0,9,9,9,9,9,9,10.794939023954619,11.22528187260528,11.734309018745284,12.386553146669007,13.128153451038846,15.13385168,22.6
Belarus,1,1,0,0,0,0,2,37.470776874648735,37.65912864794372,35.5177119619733,33.92342606219072,35.36831718320705,38.91229059,44.1
Belgium,7,0,1,1,1,1,1,73.89813214281679,76.02151917299354,77.65942926453496,77.49278106088674,78.71306884519878,75.87254349,83.2
Belize,0,0,0,0,0,0,0,7.258280045107588,7.430263749554215,7.662699222783363,8.008693535880644,8.425647192310512,8.776341551,6.5
Benin,4,4,4,5,6,9,9,2.8115716895013922,2.908279301778166,2.962611521911135,3.0169617702775366,3.0697000534948624,3.789687828,0.9
Bhutan,9,8,8,8,7,7,7,2.940690369871845,3.1334700701092046,3.3666770242109973,3.624211289014857,3.8862178399524367,5.425757435,6.1
Bolivia (Plurinational State of),7,4,4,4,4,4,9,6.354397288390001,6.535439723575342,6.812121826493541,7.12173716251513,7.441835083996098,9.370341195,8.3
Bosnia and Herzegovina,0,0,0,0,0,0,0,55.1786356888879,57.84408921062276,60.89034810811291,65.32540939305122,68.33078234029666,72.1982112,76.6
Botswana,0,0,0,0,0,0,0,8.816393093468696,8.747394452032252,8.765654793628597,8.868060665923272,8.987812076808222,12.49145124,2.4
Brazil,1,1,8,8,8,8,8,12.624732749293052,12.941152383775893,13.344764602451418,13.90778225124902,14.493775257192539,16.40650851,19
Brunei Darussalam,6,6,8,8,8,8,8,15.19695955384299,16.805014486637813,18.92746060747324,21.15047659952462,23.814231367513834,25.46665584,28.3
Bulgaria,4,0,8,8,8,8,8,50.98323523825832,51.70723831835664,51.52446903100623,50.75708014105326,50.78535911811491,70.09275717,61.9
Burkina Faso,4,9,9,9,9,9,9,1.4821924848831411,1.4980252429781307,1.5027229083234024,1.510005470820047,1.5283956377521606,3.866032565,0.76
Burundi,0,0,0,0,0,9,9,1.7325645844552324,1.7226462335887545,1.759465074164027,1.8085590840832684,1.8721392310947311,2.602520375,1.5
Cabo Verde,1,1,1,1,1,1,1,7.994243479201241,8.184409025584397,7.93284788843344,7.748767066196388,7.7399555672704,12.41693579,8.5
Cambodia,0,0,0,7,8,8,8,9.560398837929146,9.934458037737722,10.175871458346272,10.487736886548081,10.905863078758541,16.81889977,11.3
