location,year,val
Greece,2017,86.68437391
Switzerland,2017,49.78203819
Cambodia,2017,16.2404192
Iceland,2017,52.68030117
Australia,2017,50.07737415
Nicaragua,2017,5.219440132
Bahamas,2017,14.29402045
Turkey,2017,35.43309036
Ethiopia,2017,1.922736889
Latvia,2017,51.73789213
Georgia,2017,47.78389477
Lao People's Democratic Republic,2017,12.73493592
Indonesia,2017,17.41663081
Barbados,2017,14.55380539
United Arab Emirates,2017,4.833529364
Kenya,2017,2.215153041
Panama,2017,10.32007312
Belize,2017,8.379126861
Lithuania,2017,49.3332328
Tajikistan,2018,6.120386385
Papua New Guinea,2018,9.936730619
Malaysia,2017,15.60358333
Maldives,2018,5.155077431
Russian Federation,2017,38.9559181
Liberia,2018,3.567727998
Kazakhstan,2017,20.41441411
Yemen,2017,4.068243301
Bolivia (Plurinational State of),2017,9.148637272
Trinidad and Tobago,2017,13.29567373
Croatia,2017,80.62351734
Venezuela (Bolivarian Republic of),2017,18.51963295
Argentina,2017,30.40077394
Cuba,2017,58.63181499
Samoa,2018,7.585714129
Kyrgyzstan,2017,8.448796918
Palau,2018,49.56141315
Iraq,2017,9.182852683
Gambia,2017,3.037628828
Equatorial Guinea,2018,5.378746912
Italy,2017,67.82896695
Ecuador,2017,8.113285607
South Africa,2017,15.93632312
Republic of Moldova,2017,29.18542306
Malawi,2017,2.211482396
Chile,2017,21.19994159
Kiribati,2017,11.13957826
Eswatini,2018,8.918855932
Myanmar,2018,18.3085579
Czechia,2017,64.3051176
Lesotho,2017,10.95351669
Dominica,2017,21.55696851
Zimbabwe,2018,6.711848714
Afghanistan,2017,3.82181399
New Zealand,2017,52.43099977
Togo,2017,4.757197247
Rwanda,2018,3.589230397
Poland,2018,77.25793935
North Macedonia,2017,60.88979346
Mongolia,2017,18.02045046
Peru,2017,9.372793428
Luxembourg,2018,51.24009568
Ukraine,2017,43.42447863
Uruguay,2018,50.27284815
Central African Republic,2017,5.395063331
Marshall Islands,2017,16.66002916
Gabon,2018,11.33289536
Sudan,2018,3.663659316
Brunei Darussalam,2018,25.46665584
Ghana,2017,4.287086133
Mauritius,2017,14.84627773
Nauru,2017,14.15289741
Luxembourg,2017,51.19050461
Maldives,2017,5.006687319
Austria,2018,57.52689249
Namibia,2017,4.300669909
Hungary,2017,98.92958103
Solomon Islands,2017,15.13753326
Montenegro,2017,90.12218449
Tajikistan,2017,6.067942476
Portugal,2018,43.78018228
Turkmenistan,2017,7.683869161
Niue,2018,39.27474302
Papua New Guinea,2017,9.703930648
Mozambique,2018,2.921347325
Malta,2018,47.12985513
Dominican Republic,2017,12.68628024
Belgium,2018,75.87254349
Colombia,2018,12.96054756
United States of America,2018,75.63886437
Micronesia (Federated States of),2017,20.10754719
Myanmar,2017,17.75553348
Congo,2017,7.509005469
Paraguay,2017,11.93170487
Guinea-Bissau,2017,4.80364444
Bangladesh,2017,5.55850517
Romania,2017,59.1993048
Seychelles,2018,17.92393014
Guinea,2017,4.449896364
Jordan,2017,7.427979956
Lebanon,2017,27.28153765
Niue,2017,38.97020814
Malta,2017,46.49381686
Mozambique,2017,2.913292185
Netherlands,2018,87.60291075
Tonga,2017,20.58175055
Costa Rica,2018,10.34289054
