COUNTRY,"HEALTH-CARE
FACILITIES","EDUCATIONAL
FACILITIESEXCEPT
UNIVERSITIES",UNIVERSITIES,"GOVERNMENT
FACILITIES",INDOOR OFFICES,RESTAURANTS,"PUBS AND
BARS","PUBLIC
TRANSPORT","ALL OTHER
INDOOR
PUBLIC PLACES","OVERALL
COMPLIANCE WITH
REGULATIONS
ON SMOKE-FREE
ENVIRONMENTS*"
Afghanistan,Yes,Yes,Yes,No,No,No,No,No,No,2
Albania,No,No,No,No,No,No,No,No,No,Missing
Algeria,Yes,Yes,No,No,No,No,No,No,No,0
Andorra,Yes,Yes,Missing,Yes,No,No,No,É,No,Missing
Angola,Yes,No,No,No,No,No,No,No,No,1
AntiguaandBarbuda,No,No,No,No,No,No,No,No,No,Missing
Argentina,No,No,No,No,No,No,No,No,No,Missing
Armenia,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,0
Australia,No,No,No,No,No,No,No,No,No,Missing
Austria,No,No,Yes,No,No,No,No,No,No,1
Azerbaijan,Yes,Yes,No,No,No,No,No,No,No,2
Bahamas,No,No,No,No,No,No,No,No,No,Missing
Bahrain,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,9
Bangladesh,Yes,Yes,No,No,No,No,No,No,No,4
Barbados,No,No,No,No,No,No,No,No,No,Missing
Belarus,Yes,No,No,No,No,No,No,No,No,4
Belgium,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,8
Belize,No,No,No,No,No,No,No,No,No,Missing
Benin,Yes,Yes,No,Yes,Yes,No,No,No,No,Missing
Bhutan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Bolivia(PlurinationalStateof),Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Missing
BosniaandHerzegovina,No,No,No,No,No,No,No,No,No,Missing
Botswana,No,No,No,No,No,No,No,No,No,Missing
Brazil,No,No,No,No,No,No,No,Yes,No,9
BruneiDarussalam,Yes,Yes,Yes,No,Yes,Yes,Missing,Yes,No,5
Bulgaria,No,Yes,Yes,No,No,No,No,Yes,Yes,3
BurkinaFaso,Yes,Yes,No,Yes,Yes,No,No,No,No,0
Burundi,No,No,No,No,No,No,No,No,No,Missing
Cambodia,No,No,No,No,No,No,No,No,No,Missing
Cameroon,Yes,Yes,No,No,No,No,No,No,No,0
Canada,No,No,No,Yes,No,No,No,No,No,Missing
CapeVerde,No,No,No,No,No,No,No,Yes,No,5
CentralAfricanRepublic,No,No,No,No,No,No,No,No,No,Missing
Chad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,0
Chile,Yes,Yes,No,No,No,No,No,No,No,7
China,No,No,No,No,No,No,No,No,No,Missing
Colombia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Comoros,Yes,Yes,No,No,No,No,No,No,No,2
Congo,No,No,No,No,No,No,No,No,No,Missing
CookIslands,No,No,No,No,No,No,No,Yes,No,5
CostaRica,No,Yes,No,No,No,No,No,No,No,2
C™ted'Ivoire,Yes,Yes,No,No,No,No,No,No,No,5
Croatia,Yes,Yes,No,No,No,No,No,No,No,6
Cuba,Yes,Yes,Yes,No,No,No,No,Yes,No,1
Cyprus,No,No,No,No,No,No,No,Yes,No,Missing
CzechRepublic,Yes,Yes,No,Yes,No,No,No,Yes,No,4
DemocraticPeople'sRepublicofKorea,No,No,No,No,No,No,No,No,No,Missing
DemocraticRepublicoftheCongo,Yes,Yes,Yes,No,No,No,No,Yes,No,1
Denmark,Yes,No,No,No,No,No,No,No,No,Missing
Djibouti,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3
Dominica,No,No,No,No,No,No,No,No,No,Missing
Dominican Republic,No,No,No,No,No,No,No,No,No,Missing
Ecuador,Yes,Yes,No,Yes,No,No,No,No,No,5
Egypt,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,3
El Salvador,Yes,No,No,Yes,Missing,No,No,Yes,No,4
Equatorial Guinea,Yes,Yes,Yes,No,No,No,No,No,No,2
Eritrea,No,No,No,No,No,No,No,No,No,Missing
Estonia,No,Yes,No,No,No,No,No,No,No,8
Ethiopia,No,No,No,No,No,No,No,No,No,Missing
Fiji,Yes,No,No,No,No,No,No,No,Yes,5
Finland ²,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,10
France ²,Yes,Yes,No,No,No,No,No,No,No,Missing
Gabon,No,No,No,No,No,No,No,No,No,Missing
Gambia,No,No,No,No,No,No,No,No,No,Missing
Georgia,No,No,No,No,No,No,No,No,No,Missing
Germany,No,No,No,Yes,Yes,No,No,Yes,No,6
Ghana,No,No,No,No,No,No,No,No,No,Missing
Greece,No,No,No,No,No,No,No,Yes,No,Missing
Grenada,No,No,No,No,No,No,No,No,No,Missing
Guatemala,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
Guinea,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3
Guinea-Bissau,No,No,No,No,No,No,No,No,No,Missing
Guyana,Yes,Yes,No,No,No,No,No,No,No,8
Haiti,No,No,No,No,No,No,No,No,No,Missing
Honduras,Yes,Yes,Yes,Yes,No,No,No,Yes,No,2
Hungary,No,No,No,No,No,No,No,No,No,Missing
Iceland,No,Yes,Yes,No,No,No,No,Yes,No,10
India,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,5
Indonesia,Yes,Yes,Yes,No,No,No,No,No,No,0
Iran (Islamic Republic of),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Iraq,Yes,Yes,No,Yes,No,No,No,No,No,1
Ireland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Israel,Yes,No,No,No,No,No,No,No,No,8
Italy ²,No,No,No,No,No,No,No,No,No,8
Jamaica,No,No,No,No,No,No,No,No,No,Missing
Japan,No,No,No,No,No,No,No,No,No,Missing
Jordan,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,4
Kazakhstan,Yes,Yes,Yes,Yes,No,No,No,No,No,3
Kenya,No,No,No,No,No,No,No,No,No,Missing
Kiribati,No,No,No,No,No,No,No,No,No,Missing
Kuwait,No,No,No,No,No,No,No,No,Yes,3
Kyrgyzstan,Yes,Yes,Yes,No,No,No,No,No,No,5
Lao People's Democratic Republic,Yes,Yes,Yes,No,No,No,No,No,No,7
Latvia,No,Yes,No,No,No,No,No,No,No,Missing
Lebanon,Yes,Yes,Yes,No,No,No,No,Yes,No,0
Lesotho,Yes,No,No,No,No,No,No,No,No,4
Liberia,No,No,No,No,No,No,No,No,No,Missing
Libyan Arab Jamahiriya,Yes,Yes,Yes,Yes,Yes,No,Missing,Yes,Yes,2
Lithuania,No,No,Yes,No,Yes,No,No,No,No,10
Luxembourg,Yes,Yes,No,No,No,No,No,É,No,Missing
Madagascar,Yes,Yes,Yes,No,No,No,No,No,No,4
Malawi,No,No,No,No,No,No,No,No,No,Missing
Malaysia,No,No,No,No,No,No,No,Yes,No,Missing
Maldives,Yes,Yes,Yes,Yes,No,No,Missing,No,No,3
Mali,No,No,No,No,No,No,No,No,No,Missing
Malta,Yes,Yes,No,No,No,No,No,Yes,No,3
Marshall Islands,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Mauritania,Yes,No,No,No,No,No,No,No,No,0
Mauritius,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Mexico,No,Yes,No,No,No,No,No,Yes,No,3
Micronesia (Federated States of),No,No,No,No,No,No,No,No,No,Missing
Monaco,Missing,Missing,Missing,Missing,Missing,Missing,Missing,É,Missing,Missing
Mongolia,No,No,No,No,No,No,No,No,No,Missing
Montenegro,Yes,Yes,Yes,Yes,No,No,No,No,No,5
Morocco,Yes,No,No,No,No,No,No,No,No,1
Mozambique,No,No,No,No,No,No,No,No,No,Missing
Myanmar,Yes,Yes,Yes,No,No,No,No,No,No,3
Namibia,No,No,No,Yes,No,No,No,No,No,Missing
Nauru,No,No,No,No,No,No,No,No,No,Missing
Nepal,No,No,No,No,No,No,No,No,No,Missing
Netherlands,Yes,Yes,Yes,No,No,No,No,No,No,Missing
New Zealand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Nicaragua,Yes,No,No,No,No,No,No,No,No,3
Niger,No,Yes,Yes,No,No,No,No,Yes,No,6
Nigeria,Yes,Yes,No,Yes,Yes,No,No,Yes,No,7
Niue,No,No,No,No,No,No,No,No,No,Missing
Norway,No,No,No,No,No,Yes,Yes,No,No,10
Oman,Yes,No,No,Yes,No,No,No,No,No,8
Pakistan^{4},Yes,Yes,Yes,No,No,No,Missing,Yes,No,0
Palau,No,No,No,Yes,No,No,No,No,No,7
Panama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Papua New Guinea,No,No,No,No,No,No,No,No,No,Missing
Paraguay,Yes,Yes,No,No,No,No,No,No,No,6
Peru,Yes,Yes,Yes,Yes,No,No,No,Yes,No,5
Philippines,Yes,Yes,Yes,No,No,No,No,No,No,3
Poland,No,No,No,No,No,No,No,No,No,Missing
Portugal,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,7
Qatar,No,No,No,No,No,No,No,Yes,Yes,5
Republic of Korea,Yes,Yes,No,No,No,No,No,No,No,6
Republic of Moldova,Yes,Yes,No,No,No,No,No,No,No,1
Romania,Yes,No,No,No,No,No,No,Yes,No,5
Russian Federation,No,No,No,No,No,No,No,No,No,Missing
Rwanda,No,No,No,No,No,No,No,No,No,Missing
Saint Kitts and Nevis,No,No,No,No,No,No,No,No,No,Missing
Saint Lucia,No,No,No,No,No,No,No,No,No,Missing
Saint Vincent and the Grenadines,No,No,No,No,No,No,No,No,No,Missing
Samoa,No,No,No,No,No,No,No,No,No,Missing
San Marino,Missing,Missing,Missing,Missing,Missing,Missing,Missing,É,Missing,Missing
Sao Tome and Principe,No,No,No,No,No,No,No,No,No,Missing
Saudi Arabia,Yes,Yes,Yes,Yes,No,No,Missing,No,No,Missing
Senegal,Yes,No,No,No,No,No,No,No,No,0
Serbia,Yes,Yes,Yes,No,No,No,No,No,No,2
Seychelles,Yes,Yes,Missing,No,No,No,No,No,No,Missing
Sierra Leone,No,No,No,No,No,No,No,No,No,Missing
Singapore,Yes,Yes,No,No,No,Yes,No,Yes,No,10
Slovakia,Yes,Yes,Yes,No,No,No,No,Yes,No,8
Slovenia,Yes,Yes,Yes,No,No,No,No,No,No,9
Solomon Islands,No,No,No,No,No,No,No,No,No,Missing
Somalia,No,No,Missing,Yes,Yes,No,No,É,No,Missing
South Africa,Yes,Yes,Yes,No,No,No,No,No,No,6
Spain,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,6
Sri Lanka,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,8
Sudan,No,Yes,No,No,No,No,No,No,Yes,2
Suriname,No,No,No,No,No,No,No,No,No,Missing
Swaziland,No,No,No,No,No,No,No,No,No,Missing
Sweden,Yes,No,No,No,No,No,No,No,No,8
Switzerland,No,No,No,No,No,No,No,No,No,Missing
Syrian Arab Republic,No,No,No,No,No,No,No,No,No,Missing
Tajikistan,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,4
Thailand,No,Yes,No,No,No,No,No,Yes,Yes,6
"The former Yugoslav Republic of
Macedonia",No,No,No,No,No,No,No,No,No,Missing
Timor-Leste,No,No,No,No,No,No,No,No,No,Missing
Togo,No,No,No,No,No,No,No,No,No,Missing
Tonga,No,No,No,Yes,Yes,No,No,No,Yes,7
Trinidad and Tobago,No,No,No,Yes,No,No,No,No,No,6
Tunisia,No,No,No,No,No,No,No,No,Missing,Missing
Turkey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Turkmenistan,No,Yes,Yes,Yes,Yes,No,No,Yes,No,5
Tuvalu,No,No,No,No,No,Yes,Yes,Yes,No,5
Uganda ²,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Missing
Ukraine,No,No,No,No,No,No,No,No,No,Missing
United Arab Emirates,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Missing
"United Kingdom of Great Britain and
Northern Ireland",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
United Republic of Tanzania,No,No,No,No,No,No,No,No,No,Missing
United States of America,No,No,No,No,No,No,No,No,No,Missing
Uruguay,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Uzbekistan,No,No,No,No,No,No,No,No,No,Missing
Vanuatu,No,No,No,No,No,No,No,No,No,Missing
Venezuela (Bolivarian Republic of),Yes,Yes,No,No,No,No,No,Yes,Yes,6
Viet Nam,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,1
West Bank and Gaza Strip^{<},Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,2
Yemen,Yes,Yes,Yes,Yes,No,No,No,No,No,1
Zambia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
Zimbabwe,No,No,No,No,No,No,No,Yes,No,4
