name,time,case_per_t
Palau,1990,26.91827095
Tuvalu,1991,18.35268347
Cook Islands,1990,23.35911346
Cook Islands,1991,23.50075684
Micronesia (Federated States of),1990,12.43544932
Saint Kitts and Nevis,1990,11.55277333
Kuwait,1990,3.937529001
San Marino,1990,51.59713513
Micronesia (Federated States of),1992,12.46805875
Congo,1990,8.093569736
Eritrea,1991,2.366914539
Nauru,1990,14.31958875
Monaco,1991,101.2836806
Congo,1992,7.856548315
Kuwait,1992,3.448774616
Palau,1991,27.0443248
Saint Kitts and Nevis,1991,10.4551222
Eritrea,1992,2.381111389
San Marino,1991,51.50283476
Nauru,1992,14.17174777
Monaco,1992,102.3314321
Saint Kitts and Nevis,1992,10.16971271
Tuvalu,1992,18.73251811
San Marino,1992,51.39023611
Eritrea,1993,2.416663836
Micronesia (Federated States of),1993,12.47393886
Cook Islands,1993,23.82538255
Tuvalu,1993,19.01511744
Kuwait,1993,3.930798343
Monaco,1993,103.9699403
Congo,1993,7.771972826
Nauru,1993,13.99775683
Eritrea,1990,2.319850564
Saint Kitts and Nevis,1994,9.753387148
Palau,1994,27.39808012
San Marino,1994,51.68230881
Eritrea,1994,2.500224281
Micronesia (Federated States of),1995,12.62346696
Kuwait,1995,4.699405111
Monaco,1990,100.7717542
Monaco,1994,106.141105
Eritrea,1995,2.642722017
Tuvalu,1994,19.20865131
Palau,1993,27.19551457
Congo,1995,7.821830297
Tuvalu,1990,17.91290737
Micronesia (Federated States of),1991,12.46333981
Monaco,1995,108.9348539
Kuwait,1991,3.599811975
Cook Islands,1994,24.03865086
Congo,1991,7.93718416
Nauru,1991,14.25748805
Palau,1995,27.80960355
Palau,1992,27.12893596
Cook Islands,1995,24.46458342
Cook Islands,1992,23.65070179
Tuvalu,1995,19.59963763
Cook Islands,1996,24.95644454
Nauru,1995,13.99859165
San Marino,1996,51.1108744
Congo,1996,7.80741252
Micronesia (Federated States of),1996,12.74499254
Kuwait,1996,4.632761857
Nauru,1996,14.07418987
Palau,1996,28.00741976
Saint Kitts and Nevis,1996,9.668717901
Micronesia (Federated States of),1997,12.85178331
San Marino,1993,51.38289958
Nauru,1997,14.14432768
Congo,1997,7.801821516
Micronesia (Federated States of),1994,12.4831502
